genome,dataset,obsolete,duplicates,modified
Arachis_hypogaea,GOMAP,3437,13,912
Brachypodium_distachyon,GOMAP,2512,49,789
Brachypodium_distachyon,GoldStandard,21,204,0
Brachypodium_distachyon,Gramene63,166,114,0
Brachypodium_distachyon,Phytozome12,99,18,0
Cannabis_sativa,GOMAP,1714,6,757
Glycine_max,GOMAP,3333,10,930
Gossypium_raimondii,GOMAP,1781,7,822
Hordeum_vulgare,GOMAP,1877,8,815
Hordeum_vulgare,GoldStandard,1,9,0
Hordeum_vulgare,Gramene63,282,147,0
Medicago_truncatula.A17,GOMAP,2673,10,798
Medicago_truncatula.A17,GoldStandard,2,23,0
Medicago_truncatula.A17,Gramene63,309,243,0
Medicago_truncatula.A17,Phytozome12,132,17,0
Medicago_truncatula.R108,GOMAP,4168,7,803
Oryza_sativa,GOMAP,1642,7,869
Oryza_sativa,GoldStandard,37,833,0
Oryza_sativa,Gramene63,238,64,0
Oryza_sativa,Phytozome12,119,19,0
Phaseolus_vulgaris,GOMAP,1190,6,783
Pinus_lambertiana,GOMAP,1839,4,587
Sorghum_bicolor,GOMAP,2384,66,783
Sorghum_bicolor,GoldStandard,178,219,0
Sorghum_bicolor,Gramene63,278,198,0
Sorghum_bicolor,Phytozome12,131,12,0
Triticum_aestivum,GOMAP,9624,17,1132
Triticum_aestivum,GoldStandard,1,5,0
Triticum_aestivum,Gramene63,584,319,0
Vigna_unguiculata,GOMAP,1269,6,811
Vigna_unguiculata,Phytozome12,122,27,0
Zea_mays.B73.v4,GOMAP,2077,89,848
Zea_mays.B73.v4,GoldStandard,50,633,0
Zea_mays.B73.v4,Gramene63,306,140,0
Zea_mays.Mo17,GOMAP,2346,83,823
Zea_mays.Mo17,GoldStandard,36,1489,0
Zea_mays.PH207,GOMAP,2676,82,830
Zea_mays.PH207,GoldStandard,37,2702,0
Zea_mays.W22,GOMAP,2681,88,840
Zea_mays.W22,GoldStandard,30,499,0
