Zm00001d019605	GO:0008137
Zm00001d033005	GO:0043565
Zm00001d033005	GO:0005634
Zm00001d033005	GO:0045893
Zm00001d047463	GO:0005622
Zm00001d051863	GO:0004497
Zm00001d046861	GO:0005737
Zm00001d046861	GO:0016579
Zm00001d046861	GO:0004843
Zm00001d036900	GO:0005886
Zm00001d036900	GO:0030244
Zm00001d036900	GO:0005794
Zm00001d036900	GO:0016759
Zm00001d036900	GO:0009833
Zm00001d036900	GO:0005802
Zm00001d021346	GO:0016279
Zm00001d021346	GO:0018026
Zm00001d007364	GO:0005634
Zm00001d007364	GO:0003700
Zm00001d031958	GO:0005829
Zm00001d031958	GO:0008477
Zm00001d031958	GO:0006152
Zm00001d013540	GO:0006511
Zm00001d013540	GO:0061631
Zm00001d013540	GO:0000209
Zm00001d010950	GO:0009635
Zm00001d010950	GO:0006979
Zm00001d010950	GO:0004357
Zm00001d048087	GO:0008171
Zm00001d048087	GO:0008757
Zm00001d048087	GO:0019438
Zm00001d048087	GO:0005829
Zm00001d007709	GO:0005737
Zm00001d007709	GO:0006511
Zm00001d007709	GO:0061630
Zm00001d007709	GO:0000151
Zm00001d007709	GO:0032436
Zm00001d007709	GO:0000209
Zm00001d007709	GO:0031624
Zm00001d026083	GO:0055114
Zm00001d026083	GO:0004497
Zm00001d026083	GO:0007275
Zm00001d026083	GO:0016125
Zm00001d026083	GO:0016132
Zm00001d026083	GO:0010268
Zm00001d005795	GO:0005737
Zm00001d005795	GO:0016567
Zm00001d005795	GO:0061630
Zm00001d049741	GO:0006952
Zm00001d049741	GO:0042742
Zm00001d049741	GO:0005886
Zm00001d049741	GO:0002229
Zm00001d049741	GO:0004675
Zm00001d036365	GO:0005484
Zm00001d036365	GO:0006888
Zm00001d036365	GO:0000139
Zm00001d036365	GO:0005801
Zm00001d036365	GO:0005797
Zm00001d036365	GO:0048209
Zm00001d036365	GO:0031201
Zm00001d036365	GO:0006906
Zm00001d026568	GO:0009451
Zm00001d043917	GO:0003723
Zm00001d043917	GO:0045292
Zm00001d043917	GO:0071013
Zm00001d034356	GO:0004364
Zm00001d034356	GO:0042803
Zm00001d034356	GO:0032991
Zm00001d034356	GO:0046982
Zm00001d034356	GO:0005737
Zm00001d034356	GO:0006749
Zm00001d009237	GO:0016157
Zm00001d012357	GO:0005886
Zm00001d012357	GO:0005227
Zm00001d002784	GO:0006355
Zm00001d002784	GO:0005634
Zm00001d002784	GO:0003690
Zm00001d002784	GO:0045910
Zm00001d002784	GO:0030261
Zm00001d002784	GO:0031492
Zm00001d002784	GO:0016584
Zm00001d002784	GO:0031936
Zm00001d002784	GO:0005515
Zm00001d032686	GO:0005794
Zm00001d032686	GO:0015297
Zm00001d032686	GO:0022857
Zm00001d032686	GO:0005338
Zm00001d032686	GO:0005464
Zm00001d037911	GO:0000902
Zm00001d037911	GO:0005634
Zm00001d037911	GO:0005525
Zm00001d037911	GO:0005737
Zm00001d037911	GO:0003924
Zm00001d037911	GO:0005886
Zm00001d037911	GO:0007015
Zm00001d037911	GO:0019901
Zm00001d037911	GO:0030036
Zm00001d037911	GO:0031532
Zm00001d037911	GO:0030838
Zm00001d037911	GO:0016477
Zm00001d037911	GO:0007266
Zm00001d037911	GO:0005856
Zm00001d024272	GO:0005739
Zm00001d049244	GO:0006457
Zm00001d049244	GO:0009506
Zm00001d021950	GO:1990904
Zm00001d021950	GO:0003723
Zm00001d021950	GO:0003729
Zm00001d012446	GO:0046961
Zm00001d012446	GO:0016471
Zm00001d012446	GO:0051117
Zm00001d012446	GO:0007035
Zm00001d003922	GO:0046833
Zm00001d003922	GO:0005634
Zm00001d003922	GO:0003729
Zm00001d002490	GO:0005634
Zm00001d002490	GO:0005737
Zm00001d002490	GO:0003729
Zm00001d002490	GO:0000381
Zm00001d026277	GO:0019353
Zm00001d026277	GO:0005737
Zm00001d026277	GO:0005829
Zm00001d026277	GO:0004109
Zm00001d026277	GO:0009570
Zm00001d033136	GO:0009416
Zm00001d033136	GO:0009535
Zm00001d033136	GO:0009768
Zm00001d033136	GO:0010287
Zm00001d033136	GO:0009941
Zm00001d021635	GO:0005634
Zm00001d021635	GO:0003682
Zm00001d021635	GO:0051276
Zm00001d021635	GO:0000796
Zm00001d021635	GO:0000793
Zm00001d021635	GO:0010032
Zm00001d021635	GO:0051306
Zm00001d017869	GO:0006508
Zm00001d017869	GO:0004190
Zm00001d017869	GO:0030163
Zm00001d035579	GO:0052751
Zm00001d017773	GO:0035091
Zm00001d017773	GO:0061512
Zm00001d017773	GO:0005929
Zm00001d013055	GO:0006887
Zm00001d013055	GO:0005484
Zm00001d013055	GO:0031201
