#GO	IC
0000001	3.015610
0000002	8.886923
0000003	3.154969
0000004	0.000000
0000006	7.500628
0000007	7.500628
0000009	7.169271
0000010	5.421187
0000011	6.542373
0000012	9.446538
0000014	7.942461
0000015	4.324064
0000016	5.156079
0000017	8.886923
0000018	7.221915
0000019	9.734220
0000021	6.450806
0000022	5.485725
0000023	9.041073
0000024	10.832833
0000025	9.734220
0000026	9.446538
0000027	7.071633
0000028	7.249314
0000029	8.267883
0000030	7.169271
0000031	2.503899
0000032	10.139686
0000033	10.139686
0000034	7.119261
0000035	9.446538
0000036	8.434937
0000037	6.169394
0000038	7.613957
0000040	7.367097
0000041	5.356369
0000042	9.041073
0000043	7.741790
0000045	7.277485
0000046	9.734220
0000048	9.446538
0000049	8.267883
0000050	10.832833
0000052	10.832833
0000053	10.832833
0000054	8.193775
0000055	9.223395
0000056	9.446538
0000057	9.223395
0000058	9.446538
0000062	8.635608
0000063	5.720845
0000064	9.734220
0000065	10.832833
0000066	10.139686
0000068	7.398845
0000069	10.139686
0000070	7.048643
0000071	7.741790
0000073	4.390293
0000074	4.895296
0000075	6.920810
0000076	8.193775
0000077	8.347926
0000079	6.188442
0000080	0.000000
0000081	10.832833
0000082	9.223395
0000083	3.088696
0000084	0.000000
0000085	0.000000
0000086	9.734220
0000087	0.000000
0000088	0.000000
0000089	0.000000
0000090	0.000000
0000091	0.000000
0000092	0.000000
0000093	0.000000
0000095	9.041073
0000096	6.463385
0000097	6.772390
0000098	9.446538
0000099	10.832833
0000100	9.223395
0000101	10.139686
0000102	7.837100
0000103	7.654779
0000104	9.041073
0000105	8.060244
0000106	9.734220
0000107	10.832833
0000109	8.635608
0000110	10.139686
0000111	10.832833
0000112	10.139686
0000113	8.635608
0000117	3.088696
0000118	7.942461
0000119	6.570153
0000120	10.139686
0000121	4.610256
0000122	6.772390
0000123	6.755295
0000124	8.193775
0000125	7.942461
0000126	9.041073
0000127	8.434937
0000128	3.155432
0000129	6.028812
0000130	4.330043
0000131	0.462973
0000132	9.041073
0000133	2.550856
0000134	8.060244
0000136	9.041073
0000137	8.753391
0000138	10.139686
0000139	6.178872
