#DB_SIZE=1403462
#MAX_CLASS_SIZE=50657
#GO	IC
0008150	0
0005575	0.215072688772971
0003674	0.298818332369587
0044464	0.30798939703706
0005623	0.30798939703706
0044424	0.462973107936179
0005622	0.462973107936179
0043226	0.74419426714375
0043229	0.747523719195592
0005737	0.773196468457933
0005488	0.797396259818582
0043227	0.812762835868
0043231	0.850164353073423
0044444	0.863885179476079
0009987	0.922022030568083
0005515	1.05027061887674
0008152	1.13201228240725
0071704	1.35223621287941
0044237	1.35223621287941
0044238	1.46583052149443
0050896	1.52020653796706
0006807	1.56205596270398
0065007	1.59575303431819
0003824	1.66040190458103
0043170	1.66811750953409
0050789	1.76301956664479
0044422	1.76509330010683
0044446	1.76578550133429
0016020	1.83754371292468
1901564	1.92969707044845
0044260	1.96357518068671
0009536	2.02476254871946
0005634	2.02940849188329
0050794	2.04408682154586
0019538	2.15743989739421
0009507	2.19927971095156
0071944	2.2746895257388
0005829	2.29564082556107
0044267	2.300750899574
0006950	2.32548784812257
0032502	2.34075221288283
0043412	2.39728350110827
0048856	2.41237070102753
0051179	2.41325234093476
0034641	2.4196675824918
0042221	2.42478495932855
0005886	2.42634763405218
1901360	2.45168835653103
0019222	2.45329367736655
0012505	2.46390752873686
0071840	2.4641395203862
0051234	2.47346359726132
0032501	2.47486973763831
0006725	2.48642783304804
0006810	2.49884145628902
0016740	2.50389866152846
0046483	2.52217179757677
0036211	2.54404689305706
0006464	2.54404689305706
0032991	2.55085564461623
0060255	2.55873070119166
0097159	2.58456525603709
1901363	2.59165655298903
0007275	2.60198913928576
0031323	2.60332158451954
0016043	2.6108162662818
0006139	2.63336850587183
0006793	2.65111224835588
0080090	2.66179851427851
0006796	2.66491334052618
0051171	2.70012621379073
0009628	2.70042002898309
0003676	2.70306825768982
0044435	2.74549977701064
0009058	2.75569606494554
0090304	2.78500334602615
0044434	2.78660360240862
0010468	2.78756498687619
0051716	2.79464352351079
1901576	2.80568259665122
0009889	2.84598780232261
0044249	2.84939264047745
0016787	2.85041635665626
0031326	2.86659292692453
0010033	2.90839851859643
0140096	2.91493211715608
0010556	2.92334321081023
0005739	2.94863276980795
0019219	2.95505637020673
2000112	2.96956597947442
0051252	3.00042177629607
0048731	3.00559180173118
0043228	3.01078869529837
0043232	3.01078869529837
0006996	3.01560991797583
1901700	3.0228856170072
0016310	3.03348930526807
2001141	3.04255032278051
1903506	3.04462114563692
0006355	3.088696075856
0000003	3.15496920280578
0051704	3.15543227296919
0055085	3.1568227714551
0022414	3.16007480684148
0009605	3.16287070801042
0003677	3.16380441489431
0044281	3.17460517732264
0044428	3.18504665804306
0009719	3.19126826222302
0016070	3.19946305380441
0009725	3.20577528646506
0005794	3.21507312687549
0055114	3.22843635468765
0044425	3.23143036890026
0006468	3.27535980186925
0031090	3.31097345128236
0009056	3.32130805509313
0016772	3.32844114432275
0009791	3.33451683271701
0001101	3.34678008562085
0010467	3.34846406019786
0071702	3.36260856758403
0003006	3.38508142343608
0007154	3.40034889556687
0048518	3.40807094166078
0006811	3.4328231863213
0005215	3.4328231863213
0031975	3.43465861051353
0016491	3.43465861051353
0031967	3.43465861051353
1901575	3.44574246782724
0009607	3.46008633707966
0048519	3.46071467514621
0043207	3.46134340826972
0022857	3.46323198295758
0051707	3.46449301717261
0044248	3.48875985291093
0005773	3.49199714936072
0071705	3.5103222694866
0016301	3.52161431906436
0005783	3.53709763073471
1990904	3.53913498288256
0070013	3.54117649430953
0031974	3.54117649430953
0043233	3.54117649430953
0044085	3.54664098878161
0065008	3.55420376116331
0023052	3.56460968232443
0006508	3.56670392392754
0007165	3.57724142923033
0061458	3.57794789340665
0048608	3.57936232079947
0006082	3.6022695500747
0043436	3.6073512307017
0016773	3.61465586508059
0099402	3.62645541201174
0009532	3.63464912638205
0031981	3.63689547700842
0033554	3.66194422497149
0044271	3.66271316003436
0009059	3.66811232471214
0009570	3.67509721923409
1901566	3.67821734657033
0051641	3.6915875811335
0006952	3.69475966943965
0048522	3.69873898229113
0009579	3.70996604488491
0016788	3.71077282185485
0003723	3.71481649901866
0019752	3.71562720031965
0031984	3.72377056779682
0034220	3.72951064095788
1902494	3.73280553685473
0034645	3.76041080294662
0031224	3.77838304535105
0043167	3.79229631326804
0070887	3.80109144472086
0043565	3.80729438884547
0004672	3.81174873919485
1901362	3.82976724469753
0098588	3.83341023597603
0010035	3.83981758055103
0098542	3.84257620299011
0009314	3.85928968396385
0009057	3.86022645218224
0009653	3.86398232514204
0009526	3.86492350168211
0048367	3.8772400950877
0033036	3.88393548117068
0048583	3.88681871238477
0006396	3.89067599778452
0009416	3.89164264841562
0009893	3.89357875744248
1901565	3.89843549355543
0050793	3.91117451933286
0048869	3.91314885363658
0009941	3.91810181076543
0051649	3.92307942183918
0006629	3.92307942183918
0048523	3.93210203943882
0098805	3.93512776035536
0019438	3.94528013181937
0070647	3.94528013181937
0006259	3.95039523248615
0030054	3.95656809159323
0055044	3.95656809159323
0005911	3.95760061620742
0009506	3.95760061620742
0031325	3.97007479043259
0009892	3.97637071888941
0033993	4.0106353128635
0010604	4.01281633880986
0018130	4.0193881039731
0009266	4.02932744587565
0046907	4.03043794015968
0015075	4.03154966901237
0005975	4.03489229050906
0006812	4.03936657090398
0032446	4.04273546797009
0044265	4.04273546797009
0051276	4.04950750288003
0051173	4.0506406474772
0010605	4.05291079601174
0004674	4.07241801240056
0042886	4.08056232734225
0031982	4.08173123454723
0044255	4.08407315599231
0015318	4.08759635399963
0065009	4.09824104351104
0008104	4.09943081164663
0022607	4.10900026266278
0031976	4.10900026266278
0009534	4.11987650280692
0016567	4.12474861963092
0006820	4.13579845581751
0009888	4.14697175641563
0005840	4.14822097581607
0071310	4.15449058882966
0051239	4.15449058882966
0140110	4.16206638263812
0070727	4.17097796293868
1901135	4.17097796293868
0097708	4.17739235311635
0031410	4.17868018330077
0030163	4.18514432992066
0030154	4.18904297033632
0010154	4.21142705171986
0042493	4.21409371996677
0034613	4.21944848510443
0015833	4.22213665876623
0044283	4.23024481129466
2000026	4.23432367486948
0050790	4.2452826886592
0001067	4.24942348132523
0044212	4.24942348132523
0009891	4.26616027368075
0098655	4.26616027368075
0048316	4.27038860979027
0007049	4.27180203758742
0045184	4.27747581167333
0006970	4.28461360072162
0044436	4.29180270429409
0044437	4.29180270429409
0051246	4.29324674786632
0005774	4.29469287971632
0019637	4.29469287971632
0031328	4.29904386555065
0005576	4.30341386522177
0016757	4.30487478586144
0015031	4.31073990531384
0032268	4.3122115759253
0044257	4.31812001261146
0098660	4.31960259257169
0044445	4.32406356651231
0003700	4.33004265756837
0031225	4.33304566282814
0051603	4.34059286846352
0010629	4.35278814155734
0048827	4.36203319970139
0010628	4.36358238668822
0071495	4.37136452713028
0010557	4.37292824910646
1990234	4.37606304791183
0043933	4.37606304791183
0045935	4.37763414014387
0022626	4.38711288409841
0097305	4.38870144678355
0022402	4.39029253701579
0043603	4.39348233238389
0009617	4.39668233511456
0034357	4.39828618469654
0009737	4.39989261074481
0016311	4.39989261074481
0034654	4.40311322544486
0030312	4.40311322544486
0005618	4.4047274307994
0019899	4.4063442460263
0034660	4.4063442460263
0016192	4.4063442460263
0016817	4.40958573995047
0031324	4.41121043567748
0042592	4.41121043567748
0018193	4.41446776754778
0051254	4.41610042097167
0016818	4.41937374631664
0042651	4.41937374631664
0032870	4.41937374631664
0016462	4.41937374631664
0006886	4.42595271741468
0098662	4.43423776894879
1901701	4.44259203641864
0043169	4.44595338412135
0048229	4.45271016658423
0022622	4.4578078836559
1902680	4.46293172065577
1903508	4.46293172065577
0048364	4.46808194663208
0055035	4.471530225911
0005198	4.47499043697589
0042578	4.48369371210419
0044262	4.48544349382798
0009535	4.4871963426554
0043168	4.4871963426554
0046872	4.4871963426554
0098796	4.48895226935766
0006325	4.49247339975624
0008324	4.5013308535903
0098656	4.5031117979613
0008610	4.51026746355671
0005730	4.51747470196166
0032787	4.5192846572069
0032259	4.5192846572069
0009409	4.52291442525748
0045893	4.52655741653598
0005654	4.52655741653598
0046394	4.52838390106201
0016053	4.52838390106201
0044431	4.53021372773909
0051172	4.53204690882075
0017111	4.54683460897513
0065003	4.5524368645238
0043632	4.55618921414235
0010817	4.56753149074628
0019787	4.56943444089237
0003735	4.57325123941907
0071554	4.57325123941907
0006974	4.57516511560135
0009651	4.57516511560135
0022804	4.57708266173063
0015711	4.57900389190852
0022613	4.58478982897556
0005856	4.59255685831322
0010038	4.59255685831322
0048878	4.59646311328029
0044429	4.60235125590551
0080134	4.60235125590551
0016791	4.61025643541262
0004842	4.61025643541262
0006520	4.61224253338425
0030001	4.61423258379226
0009451	4.61423258379226
0022890	4.61423258379226
0034470	4.61622660239913
0008233	4.6182246050618
0009790	4.63029718629607
0044430	4.6323235294413
0055086	4.6323235294413
0019941	4.6323235294413
0016021	4.64251729763085
0051186	4.6466240795835
0090567	4.64868381254651
0036094	4.65696543337823
0098772	4.65904659958206
0070011	4.66322197099254
0016071	4.66531621259565
0003729	4.66741484925257
0005768	4.67162538178892
0009755	4.67373731499206
0006511	4.68436440756635
0034622	4.6865034458151
0002376	4.6865034458151
0042742	4.69294815125774
0006518	4.69294815125774
0009908	4.70160621400085
0048580	4.70160621400085
0009793	4.70378249342345
0006091	4.70814931258979
1905392	4.71253528453304
0006281	4.71473550544264
0043604	4.71473550544264
0051128	4.71473550544264
0015630	4.71694057800096
0044391	4.72136536398131
