genome,dataset,SimGIC2.C,SimGIC2.F,SimGIC2.P,TC_AUCPCR.C,TC_AUCPCR.F,TC_AUCPCR.P,Fmax.C,Fmax.F,Fmax.P
Brachypodium_distachyon,GOMAP,0.406628,0.462970,0.223544,0.233442,0.230701,0.118526,0.741361,0.740897,0.526881
Brachypodium_distachyon,Gramene63-IEA,0.319117,0.419453,0.348390,0.129163,0.192507,0.111361,0.691016,0.738542,0.650325
Brachypodium_distachyon,Phytozome12,0.370139,0.369241,0.350490,0.112582,0.136832,0.085628,0.717759,0.697076,0.660603
Hordeum_vulgare,GOMAP,0.402560,0.468542,0.237800,0.237231,0.261399,0.130784,0.745272,0.750213,0.560096
Medicago_truncatula.A17,GOMAP,0.374182,0.450364,0.213045,0.272809,0.282650,0.139032,0.730838,0.726991,0.531406
Medicago_truncatula.A17,Gramene63-IEA,0.332022,0.435677,0.342645,0.176497,0.265887,0.133503,0.701093,0.749900,0.654297
Medicago_truncatula.A17,Phytozome12,0.360232,0.365060,0.361115,0.144247,0.170863,0.110386,0.717307,0.698429,0.661233
Oryza_sativa,GOMAP,0.411480,0.481120,0.247901,0.298502,0.303384,0.159724,0.751121,0.757181,0.559221
Oryza_sativa,Gramene63-IEA,0.330644,0.422021,0.340339,0.167619,0.265410,0.135451,0.711309,0.738732,0.643827
Oryza_sativa,Phytozome12,0.051658,0.042817,0.043681,0.000003,0.000003,0.000002,0.470134,0.266628,0.239256
Sorghum_bicolor,GOMAP,0.407231,0.465732,0.223938,0.316873,0.337380,0.169883,0.746540,0.742001,0.534258
Sorghum_bicolor,Gramene63-IEA,0.324897,0.398742,0.352589,0.177038,0.260198,0.154157,0.711107,0.712170,0.653591
Sorghum_bicolor,Phytozome12,0.357286,0.347189,0.338641,0.151947,0.177579,0.110483,0.715714,0.675147,0.641535
Triticum_aestivum,GOMAP,0.412782,0.488887,0.228871,0.050762,0.030610,0.019360,0.736476,0.762420,0.533897
Triticum_aestivum,Gramene63-IEA,0.364607,0.475901,0.394219,0.040992,0.043701,0.027872,0.737769,0.762059,0.670953
Zea_mays.B73.v3,GOMAP,0.198179,0.359422,0.094640,0.034380,0.001644,0.001021,0.648177,0.645357,0.323390
Zea_mays.B73.v3,Gramene49,0.252350,0.365922,0.163637,0.049989,0.003238,0.001972,0.729851,0.708819,0.441927
Zea_mays.B73.v3,Phytozome,0.152410,0.355794,0.100792,0.013784,0.003064,0.000539,0.538830,0.674668,0.324333
Zea_mays.B73.v4,GOMAP,0.486568,0.440989,0.213537,0.283686,0.247096,0.135719,0.779115,0.722084,0.467588
Zea_mays.B73.v4,Gramene61-IEA,0.349744,0.416108,0.324970,0.157917,0.230439,0.131515,0.681992,0.723220,0.569086
Zea_mays.Mo17,GOMAP,0.232016,0.292290,0.104776,0.040932,0.001932,0.000895,0.692584,0.629293,0.317094
Zea_mays.PH207,GOMAP,0.234422,0.272876,0.096926,0.037857,0.001743,0.000813,0.694819,0.608583,0.307465
Zea_mays.W22,GOMAP,0.235595,0.276437,0.103866,0.038546,0.001730,0.000868,0.695096,0.604579,0.306371
