"genome","n_genes","dataset","genes_annotated_c","genes_annotated_f","genes_annotated_p","genes_annotated_a","p_genes_annotated_c","p_genes_annotated_f","p_genes_annotated_p","p_genes_annotated_a","annotations_c","annotations_f","annotations_p","annotations_a","median_annotations_per_gene_c","median_annotations_per_gene_f","median_annotations_per_gene_p","median_annotations_per_gene_a"
"Arachis_hypogaea",67124,"GOMAP",57667,56855,67123,67124,85.9111495143317,84.7014480662654,99.9985102198915,100,153433,132944,493799,780176,2,2,6,10
"Brachypodium_distachyon",34310,"GOMAP",27923,29292,34309,34310,81.3844360244827,85.3745263771495,99.9970853978432,100,75877,69709,255807,401393,2,2,6,10
"Glycine_max",52872,"GOMAP",46020,47034,52871,52872,87.0403994552882,88.95823876532,99.9981086397337,100,129215,113827,417555,660597,2,2,6,11
"Gossypium_raimondii",37505,"GOMAP",34908,34651,37504,37505,93.0755899213438,92.3903479536062,99.9973336888415,100,96793,85511,307921,490225,2,2,6,11
"Hordeum_vulgarum",39734,"GOMAP",35237,36470,39733,39734,88.6822368752202,91.7853727286455,99.9974832637036,100,88130,80282,272823,441235,2,2,5,10
"Hordeum_vulgarum",39734,"GoldStandard",7,19,18,27,0.0176171540745961,0.0478179896310465,0.0453012533346756,0.0679518800020134,7,23,45,75,0,1,1,2
"Medicago_truncatula.A17",50444,"GOMAP",42325,43736,50443,50444,83.9049242724605,86.7020854809293,99.9980176036793,100,107362,99719,364065,571146,2,2,6,10
"Medicago_truncatula.R108",55706,"GOMAP",40332,50220,55706,55706,72.4015366387822,90.1518687394536,100,100,112343,108031,382322,602696,1,2,5,9
"Oryza_sativa",35825,"GOMAP",28619,29853,35824,35825,79.8855547801814,83.3300767620377,99.9972086531752,100,72780,64685,248700,386165,2,2,6,9
"Oryza_sativa",35825,"GoldStandard",5725,7383,9031,11387,15.9804605722261,20.6085136078158,25.208653175157,31.7850662944871,7730,11060,19378,38176,1,1,1,3
"Oryza_sativa",35825,"Gramene61-IEA",10771,15537,16705,21446,30.0655966503838,43.3691556175855,46.6294487090021,59.8632240055827,14633,32787,39105,86529,1,1,1,3
"Phaseolus_vulgaris",27433,"GOMAP",25934,25539,27432,27433,94.5357780774979,93.0959063901141,99.9963547552218,100,72005,64583,229630,366218,2,2,6,11
"Sorghum_bicolor",34129,"GOMAP",28154,29353,34128,34129,82.4928946057605,86.0060359225292,99.9970699405198,100,76689,70190,259413,406292,2,2,6,10
"Triticum_aestivum",107891,"GOMAP",95604,98187,107890,107891,88.6116543548581,91.0057372718762,99.9990731386306,100,267741,218623,785960,1272324,2,2,6,10
"Triticum_aestivum",107891,"GoldStandard",965,620,1662,1866,0.894421221417913,0.574654048993892,1.54044359585137,1.72952331519775,1590,923,4807,7323,1,0,2,3
"Triticum_aestivum",107891,"Gramene61-IEA",28849,59596,52564,75785,26.7390236442335,55.2372301674839,48.7195410182499,70.2421888758098,38975,109319,109518,257832,0,1,1,2
"Vigna_unguiculata",29773,"GOMAP",27173,27124,29772,29773,91.2672555671246,91.1026769220435,99.9966412521412,100,75867,68313,243278,387458,2,2,6,11
"Zea_mays.B73.v3",39469,"GOMAP",34866,38073,39468,39469,88.3376827383516,96.4630469482379,99.9974663660088,100,135211,87420,291251,513882,3,2,6,11
"Zea_mays.B73.v3",39469,"GoldStandard",1548,60,151,1634,3.92206541842965,0.152018039474018,0.382578732676278,4.13995794167575,1565,65,299,1929,1,0,0,1
"Zea_mays.B73.v3",39469,"Gramene49",11834,17991,15800,21926,29.9830246522587,45.5826091362842,40.0314170614913,55.5524588917885,20072,31056,30089,81217,1,1,1,3
"Zea_mays.B73.v3",39469,"Phytozome",4524,13728,11365,16132,11.4621601763409,34.7817274316552,28.7947503103702,40.8725835465809,4787,19044,13100,36931,0,1,1,2
"Zea_mays.B73.v4",39324,"GOMAP",36717,37337,39323,39324,93.3704607873055,94.9471060929712,99.9974570237005,100,88827,82251,278719,449797,2,2,6,10
"Zea_mays.B73.v4",39324,"GoldStandard",8349,10067,12120,14971,21.231309124199,25.6001424066728,30.820872749466,38.070898179229,11510,15019,25737,52428,1,1,1,3
"Zea_mays.B73.v4",39324,"Gramene61-IEA",14774,22064,23965,29152,37.5699318482352,56.1082290713051,60.9424270165802,74.1328450818838,20265,47657,58110,126525,1,1,2,3
"Zea_mays.Mo17",38620,"GOMAP",33618,35105,38619,38620,87.0481615743138,90.8984981874676,99.9974106680476,100,87567,79214,277787,444568,2,2,6,10
"Zea_mays.PH207",40557,"GOMAP",35170,36762,40556,40557,86.7174593781591,90.6427990235964,99.9975343343936,100,90617,85500,288677,464794,2,2,6,10
"Zea_mays.W22",40690,"GOMAP",36987,37685,40689,40690,90.8994839026788,92.6148930941263,99.9975423937085,100,95390,85039,289780,470209,2,2,6,10
